"建築基準法の全体像
・総○○、手○○関連
・集○○規定
・単○○規定","建築基準法の全体像
・総則、手続き関連
・集団規定
・単体規定"
"■非常用エレベーター
設置が必要な条件：原則、高さ○○m超の建築物","■非常用エレベーター
設置が必要な条件：原則、高さ31m超の建築物"
"■非常用エレベーターの免除条件
①高さ○○mを超える部分が 、階○○室・機○○室、装○○塔等
②高さ○○mを超える部分が 、 各階の床面積が○○m2以下
③高さ○○mを超える部分が 、 各階が○○以下。特定主要構造部が耐火構造。○○m2以内に防火区画がある
④高さ○○mを超える部分が 、 機○○工場、倉○○などで、主要構造部が不○○材料。","■非常用エレベーターの免除条件
①高さ31mを超える部分が 、階段室・機械室、装飾塔等
②高さ31mを超える部分が 、 各階の床面積が500m2以下
③高さ31mを超える部分が 、 各階が4以下。特定主要構造部が耐火構造。100m2以内に防火区画がある
④高さ31mを超える部分が 、 機械製作工場、倉庫などで、主要構造部が不燃材料。"
"■地下街の避難通路
地下街の各構え（=概ね建築物のこと）は、
①原則、地下道に○○m以上接すること
②幅員○○m以上、天井までの高さ○○m以上で、かつ、段及び1/○○超の勾配の傾斜路を有しない
③天井、壁の仕上・下地は不○○材とする
④長さ○○m超の地下道は、各構えから直通階段までの歩行距離は○○m以下とする","■地下街の避難通路
地下街の各構え（=概ね建築物のこと）は、
①原則、地下道に2m以上接すること
②幅員5m以上、天井までの高さ3m以上で、かつ、段及び1/8超の勾配の傾斜路を有しない
③天井、壁の仕上・下地は不燃材とする
④長さ60m超の地下道は、各構えから直通階段までの歩行距離は30m以下とする"
"■敷地内の避難通路
避難階段から敷地外の道等への通路幅員：○○m以上","■敷地内の避難通路
避難階段から敷地外の道等への通路幅員：1.5m以上"
【018避難規定③】,【018避難規定③】
"・避難安全検証法の種類
区○○避難安全検証法
階○○避難安全検証法
全○○避難安全検証法","・避難安全検証法の種類
区画避難安全検証法
階避難安全検証法
全館避難安全検証法"
【019道路等】,【019道路等】
"・道路の幅員
原則○○m以上（特定行政庁の指定区域内は○○m以上）","・道路の幅員
原則4m以上（特定行政庁の指定区域内は6m以上）"
"・道路の種類（6種類）
①1項一号：道○○法による道路
②1項二号：都○○法、土○○法、など、による道路
③1項三号：都○○区域、による道路（※整理して書く）
④1項四号：2年以内に新○○・変○○計画のある道路
⑤1項五号：位○○指定道路
⑥2項：幅員○○m未満の道で、特定行政庁が指定したもの","・道路の種類（6種類）
①1項一号：道路法による道路
②1項二号：都市計画法、土地区画整理法、など、による道路
③1項三号：都市計画区域、による道路（※整理して書く）
④1項四号：2年以内に新設・変更計画のある道路
⑤1項五号：位置指定道路
⑥2項：幅員4m未満の道で、特定行政庁が指定したもの"
"・法42条3項道路
道路中心線から○○m未満、○○m以上、
がけ地等から○○m未満、○○m以上の範囲で
水平距離を指定できる。","・法42条3項道路
道路中心線から2m未満、1.35m以上、
がけ地等から4m未満、2.7m以上の範囲で
水平距離を指定できる。"
"・法42条4項道路
※書く","・法42条4項道路
※書く"
"・位置指定道路
※書く","・位置指定道路
※書く"
■接道と道路内の建築制限,■接道と道路内の建築制限
"・接道
敷地は、道路に○○m以上接する必要がある
※特定行政庁が建築審査会の同意を得て許可した場合は、この限りではない。","・接道
敷地は、道路に2m以上接する必要がある
※特定行政庁が建築審査会の同意を得て許可した場合は、この限りではない。"
"・道路内の建築制限
道路に突き出すのは原則禁止。
ただし、以下はOK
①地盤面下に設ける建築物
②公衆便所、巡査派出所などの公益上必要な建築物※
③地下や上空等の渡り廊下等※
④公共用歩廊等※
※ 特定行政庁が建築審査会の同意を得て許可が必要","・道路内の建築制限
道路に突き出すのは原則禁止。
ただし、以下はOK
①地盤面下に設ける建築物
②公衆便所、巡査派出所などの公益上必要な建築物※
③地下や上空等の渡り廊下等※
④公共用歩廊等※
※ 特定行政庁が建築審査会の同意を得て許可が必要"
"・私道の廃止
接○○規定を満たさなくなるような私道廃止は特○○庁が制限できる。","・私道の廃止
接道規定を満たさなくなるような私道廃止は特定行政庁が制限できる。"
"・道路の位置指定
※書く","・道路の位置指定
※書く"
"・予定道路の指定
※書く","・予定道路の指定
※書く"
"・前面道路
※書く","・前面道路
※書く"
"・壁面線
特定行政庁は建○○審査会の同意を得て、壁○○線を指定できる","・壁面線
特定行政庁は建築審査会の同意を得て、壁面線を指定できる"
"・壁面線を越えてはいけないもの
建築物のか○○
は○○
高さ2mを超えるも○○、へ○○","・壁面線を越えてはいけないもの
建築物の壁
柱
高さ2mを超える門、塀"
【020用途地域制】,【020用途地域制】
"■用途地域の種類
1○○：住宅・小規模店舗又は事務所兼住宅、小中学校、老人ホーム等
2○○：上記の他、○○m2以下の店舗等
1○○：上記の他、病院・大学・○○m2以下の店舗等
2○○：上記の他、○○m2以下の店舗・事務所等
1○○：上記の他、○○m2以下の店舗・事務所・ホテル等
2○○：上記の他、○○m2以下の店舗等・パチンコ屋・カラオケボックス等
準○○：上記の他、客席が○○m2未満の劇場等
田○○：2低専と同じ、及び、地域農業増進の○○m2以下の店舗・飲食店等
近○○：住宅・○○m2超の店舗・カラオケボックス等
商○○：銀行・映画館・飲食店・百貨店・事務所・住宅・小規模の工場等
準○○：危険性及び環境悪化が著しい工場以外（住宅も可）
工○○：住宅・○○m2以下の店舗（学校・行院・ホテル等は不可）※合ってる確認
工○○：工場（付帯条件なし）（住宅・店舗・学校・病院・ホテル等は不可）","■用途地域の種類
1低専：住宅・小規模店舗又は事務所兼住宅、小中学校、老人ホーム等
2低専：上記の他、150m2以下の店舗等
1中専：上記の他、病院・大学・500m2以下の店舗等
2中専：上記の他、1500m2以下の店舗・事務所等
1住：上記の他、3000m2以下の店舗・事務所・ホテル等
2住：上記の他、10,000m2以下の店舗等・パチンコ屋・カラオケボックス等
準住：上記の他、客席が200m2未満の劇場等
田住：2低専と同じ、及び、地域農業増進の500m2以下の店舗・飲食店等
近商：住宅・10,000m2超の店舗・カラオケボックス等
商業：銀行・映画館・飲食店・百貨店・事務所・住宅・小規模の工場等
準工：危険性及び環境悪化が著しい工場以外（住宅も可）
工業：住宅・10,000m2以下の店舗（学校・行院・ホテル等は不可）※合ってる確認
工専：工場（付帯条件なし）（住宅・店舗・学校・病院・ホテル等は不可）"
"■都市計画区域（後ろに出てくる都市計画法の章でも書く）
都○○区域
　市○○区域：用途地域は原則として市街化区域内において定める
　市○○区域：市街化を抑さえる区域。開発許可が必要な場面多い。
　非○○区域：
準○○区域：
都○○区域外：都市計画法が適用されない。
新3号建築物は、確認申請不要（景観地区等に該当すれば必要だが。あと当たり前だが確認申請は不要だけど、建築基準法は守る必要あり。）
集団規定（接道・建ぺい率・容積率・高さ制限）が対象外になる。","■都市計画区域（後ろに出てくる都市計画法の章でも書く）
都市計画区域
　市街化区域：用途地域は原則として市街化区域内において定める
　市街化調整区域：市街化を抑さえる区域。開発許可が必要な場面多い。
　非線引区域：
準都市計画区域：
都市計画区域外：都市計画法が適用されない。原則確認申請不要（景観地区等に該当すれば必要だが。あと当たり前だが確認申請は不要だけど、建築基準法は守る必要あり。）集団規定（接道・建ぺい率・容積率・高さ制限）が対象外になる。"
"■地域地区（後ろに出てくる都市計画法の章でも書く）21種類
①用途地域
②特別用途地域
③特定容積率適用地区
④特定用途制限地域
⑤高層住居誘導地区
⑥高度地区・高度利用地区
⑦特定街区
⑧都市再生特別地区
⑨防火地域・準防火地域
⑩特定防災街区整備地区
⑪景観地区
⑫風致地区
⑬駐車場整備地区
⑭臨港地区
⑮歴史的風土特別保存地区
⑯第一種歴史的尤度保存地区・第二種歴史的風土保存地区
⑰特別緑地保全地区
⑱流通業務地区
⑲生産緑地地区
⑳伝統的建築物群保存地区
㉑航空機騒音障害防止地区・航空機騒音障害防止特別地区","■地域地区（後ろに出てくる都市計画法の章でも書く）21種類
①用途地域
②特別用途地域
③特定容積率適用地区
④特定用途制限地域
⑤高層住居誘導地区
⑥高度地区・高度利用地区
⑦特定街区
⑧都市再生特別地区
⑨防火地域・準防火地域
⑩特定防災街区整備地区
⑪景観地区
⑫風致地区
⑬駐車場整備地区
⑭臨港地区
⑮歴史的風土特別保存地区
⑯第一種歴史的尤度保存地区・第二種歴史的風土保存地区
⑰特別緑地保全地区
⑱流通業務地区
⑲生産緑地地区
⑳伝統的建築物群保存地区
㉑航空機騒音障害防止地区・航空機騒音障害防止特別地区"
"■地区計画等（後ろに出てくる都市計画法の章でも書く）
①地区計画
②防災街区整備地区計画
③沿道地区計画
④集落地区計画
⑤歴史的風致維持向上地区計画","■地区計画等（後ろに出てくる都市計画法の章でも書く）
①地区計画
②防災街区整備地区計画
③沿道地区計画
④集落地区計画
⑤歴史的風致維持向上地区計画"
"■建築協定（後ろに出てくる都市計画法の章でも書く）
市町村が条例で、土地所有者・借地権者が建築協定を締結できること、を定めてる","■建築協定（後ろに出てくる都市計画法の章でも書く）
市町村が条例で、土地所有者・借地権者が建築協定を締結できること、を定めてる"
・用途制限,・用途制限
【021規模の規制　容積率・建蔽率】,【021規模の規制　容積率・建蔽率】
"■容積率の算定
①道路幅x○○（住居系用途地域）、道路幅x○○（その他の用途地域）
②都市計画での容積率
のうち、小さいものを採用","■容積率の算定
①道路幅x0.4（住居系用途地域）、道路幅x0.6（その他の用途地域）
②都市計画での容積率
のうち、小さいものを採用"
"■容積に算入しない部分
①
②
⑩
※書く","■容積に算入しない部分
①
②
⑩
※書く"
・敷地内に複数の容積率がある場合：敷地毎の加重平均以下とする,・敷地内に複数の容積率がある場合：敷地毎の加重平均以下とする
"・用途地域と建蔽率
一号：住居系、工業専用地域：○○/10,○○/10,○○/10,○○/10
二号：第一/ニ種住居地域、準住居地域、準工業地域：○○/10，○○/10，○○/10
三号：近商：○○/10，○○/10
四号：商業：○○/10
五号：工業：○○/10,○○/10
六号：用途地域の指定のない区域：○○～○○/10のうち特定行政庁が都市計画審議会を経て定める","・用途地域と建蔽率
一号：住居系、工業専用地域：3/10,4/10,5/10,6/10
二号：第一/ニ種住居地域、準住居地域、準工業地域：5/10，6/10，8/10
三号：近商：6/10，8/10
四号：商業：8/10
五号：工業：5/10,6/10
六号：用途地域の指定のない区域：3～7/10のうち特定行政庁が都市計画審議会を経て定める"
"・建蔽率が適用されないもの
①
②巡査派出所、公衆便所、公共用歩廊など
③公園、広場等の内にある建築物で、特定行政庁が建築審査会の同意を得て許可したもの","・建蔽率が適用されないもの
①
②巡査派出所、公衆便所、公共用歩廊など
③公園、広場等の内にある建築物で、特定行政庁が建築審査会の同意を得て許可したもの"
【022高さ制限】,【022高さ制限】
"・高さ制限の種類
絶○○高さ制限
道○○制限
隣○○制限
北○○制限
天○○率
日○○規制
高○○地区","・高さ制限の種類
絶対高さ制限
道路斜線制限
隣地斜線制限
北側斜線制限
天空率
日影規制
高度地区"
"■絶対高さ制限
・1低専、2低専、田住
の建築物の高さは○○m or ○○m（都市計画で定める）以下
・一定空地を有し、特定行政庁が認めれば、○○m以下
・再生可能エネルギー設備の設置などで、特定行政庁が許可したものは、○○m or ○○mを超えること可能","■絶対高さ制限
・1低専、2低専、田住
の建築物の高さは10m or 12m（都市計画で定める）以下
・一定空地を有し、特定行政庁が認めれば、12m以下
・再生可能エネルギー設備の設置などで、特定行政庁が許可したものは、10m or 12mを超えること可能"
■道路斜線制限,■道路斜線制限
・斜線勾配：○○ or 1.5,・斜線勾配：1.25 or 1.5
・水平距離L：前面道路の○○側の境界線までの水平距離,・水平距離L：前面道路の反対側の境界線までの水平距離
・適用距離：○○～○○m,・適用距離：20-50m
"・斜線勾配
住居系用途地域：○○
商業、工業系用途地域：○○","・斜線勾配
住居系用途地域：1.25
商業、工業系用途地域：1.5"
"・水平距離の緩和
前面道路の境界から後○○距離分だけ、反○○側も緩和","・水平距離の緩和
前面道路の境界から後退距離分だけ、反対側も緩和"
"・斜線勾配の緩和
住居系用途地域（正確にはちゃんと書く）の前面道路の○○m以上の場合、
斜線勾配：○○に緩和","・斜線勾配の緩和
住居系用途地域（正確にはちゃんと書く）の前面道路の12m以上の場合、
斜線勾配：1.5に緩和"
"・前面道路が2以上ある場合
※書く","・前面道路が2以上ある場合
※書く"
"・前面道路の反対側に公園、水面などがある場合
反対側の境界線は、反対側の境界線まで延ばす","・前面道路の反対側に公園、水面などがある場合
反対側の境界線は、反対側の境界線まで延ばす"
"・敷地と前面道路に高低差がある場合
敷地が前面道路より○○m以上高い場合、
前面道路は、(高低差-1m)x1/○○高い位置にあるものとできる","・敷地と前面道路に高低差がある場合
敷地が前面道路より1m以上高い場合、
前面道路は、(高低差-1m)x1/2高い位置にあるものとできる"
■隣地斜線制限,■隣地斜線制限
"・斜線勾配、加算高さ
住居系地域：○○、○○m
その他地域：○○、○○m
用途無指定区域：○○ or ○○、○○ or ○○m","・斜線勾配、加算高さ
住居系地域：1.25、20m
その他地域：2.5、31m
用途無指定区域：1.25 or 2.5、20 or 31m"
"・隣地斜線制限の緩和
公園、水面等に接する場合：隣地境界線は公園、水面等の幅の1/○○まで延ばす
隣地より低い場合：(高低差-1m)x1/○○高い位置にあるものとできる
計画道路が・・・※理解して書く","・隣地斜線制限の緩和
公園、水面等に接する場合：隣地境界線は公園、水面等の幅の1/2まで延ばす
隣地より低い場合：(高低差-1m)x1/2高い位置にあるものとできる
計画道路が・・・※理解して書く"
■北側斜線制限,■北側斜線制限
"前面道路の反対側の境界線、または、隣地境界線
1低専、、2低専：○○m+○○L
1中高、2中高：○○m+○○L
※ちなみに、北側道路だった場合、道路斜線の方がより厳しい条件になりがち。","前面道路の反対側の境界線、または、隣地境界線
1低専、、2低専：5m+1.25L
1中高、2中高：10m+1.25L
※ちなみに、北側道路だった場合、道路斜線の方がより厳しい条件になりがち。"
"・北側斜線制限の緩和
公園、水面等に接する場合：隣地境界線は公園、水面等の幅の1/○○まで延ばす
隣地より低い場合：(高低差-1m)x1/2高い位置にあるものとできる","・北側斜線制限の緩和
公園、水面等に接する場合：隣地境界線は公園、水面等の幅の1/2まで延ばす
隣地より低い場合：(高低差-1m)x1/2高い位置にあるものとできる"
"■天空率
※書く","■天空率
※書く"
■日影規制,■日影規制
・日影規制区域：地方公共団体の条例で規定する区域,・日影規制区域：地方公共団体の条例で規定する区域
"・法別表第4
低層住居専用地区
中高層住居専用地区
※書く","・法別表第4
低層住居専用地区
中高層住居専用地区
※書く"
【023防火地域制】,【023防火地域制】
"防火地域または準防火地域内にある建築物は①かつ②とする。
①外壁の開口部で延焼のおそれのある部分に防○○設備を設ける（=延焼ラインの奴）
②壁、柱、床等および当該防火設備を・・・技術的基準に適合し、大臣が定めた構造方法または国土交通大臣の認定を受けたもの（=耐火構造、防火設備の基準）","防火地域または準防火地域内にある建築物は①かつ②とする。
①外壁の開口部で延焼のおそれのある部分に防火設備を設ける（=延焼ラインの奴）
②壁、柱、床等および当該防火設備を・・・技術的基準に適合し、大臣が定めた構造方法または国土交通大臣の認定を受けたもの（=耐火構造、防火設備の基準）"
"■防火地域/準防火地域で、耐火建築物にするべきか、準耐火建築物にするか
令○○条の2で記載されている。","■防火地域/準防火地域で、耐火建築物にするべきか、準耐火建築物にするか
令136条の2で記載されている。"
"①一号：耐火建築物
・条件：
防火地域で○○階以上 or ○○m2超
準防火地域で○○階以上 or ○○m2超
・主要構造部：○○構造
・延焼ライン内の外壁開口：○○設備","①一号：耐火建築物
・条件：
防火地域で3階以上 or 100m2超
準防火地域で4階以上or1500m2超
・主要構造部：耐火構造
・延焼ライン内の外壁開口：防火設備"
"②二号：準耐火建築物
・条件：
防火地域で○○階以下 or ○○m2以下
準防火地域で○○階以上 & ○○m2以下or ○○階以下 & ○○~○○m2
・主要構造部：○○構造
・延焼ライン内の外壁開口：○○設備","②二号：準耐火建築物
条件：防火地域で2階以下 or 100m2以下/準防火地域で3階以上 & 1500m2以下or 2階以下 & 500~1500m2
・主要構造部：準耐火構造
・延焼ライン内の外壁開口：防火設備"
"③三号：外壁・軒裏を防火構造+片面防火設備とした木造建築物
・条件：
準防火地域で○○階以下 & ○○m2（木造建築物）
・外壁と軒裏：○○構造
・延焼ライン内の外壁開口：○○設備","③三号：外壁・軒裏を防火構造+片面防火設備とした木造建築物
・条件：
準防火地域で2階以下 & 500m2（木造建築物）
・外壁と軒裏：防火構造
・延焼ライン内の外壁開口：片面防火設備"
"④四号：片面防火設備とした非木造建築物
・条件：
準防火地域内で○○階以下 & ○○m2以下（非木造建築物）
・延焼ライン内の外壁開口：○○設備","④四号：片面防火設備とした非木造建築物
条件：準防火地域内で2階以下 & 500m2以下（非木造建築物）
・延焼ライン内の外壁開口：片面防火設備"
"⑤五号：門とか塀
・条件：
高さ○○m超の門・塀で、○○地域内の建築物に付属するもの
○○地域内の木造建築物等に付属するもの
・門と塀が、延焼防止上支障のない構造であること。","⑤五号：門とか塀
・条件：
高さ2m超の門・塀で、防火地域内の建築物に付属するもの
準防火地域内の木造建築物等に付属するもの
・門と塀が、延焼防止上支障のない構造であること。"
"■上記を、防火地域/準防火地域と面積で整理
①防火地域
50m2以下
※うーん書くか悩む…。たぶん書いた方が良い。","■上記を、防火地域/準防火地域と面積で整理
①防火地域
50m2以下
※うーん書くか悩む…。たぶん書いた方が良い。"
"■防火地域/準防火地域での、屋根の性能
・防火地域/準防火地域どちらも
①周囲の火災の火の粉で、防火上有害な発炎しないもの
②周囲の火災の火の粉で、防火上有害な溶融・亀裂が生じないもの
※上記は外部からの延焼を防ぐための規定。ちなみに屋根は主要構造部なので、防火地域だとほぼ耐火構造にする必要もある、こちらは内部の火災のための規定。","■防火地域/準防火地域での、屋根の性能
・防火地域/準防火地域どちらも
①周囲の火災の火の粉で、防火上有害な発炎しないもの
②周囲の火災の火の粉で、防火上有害な溶融・亀裂が生じないもの
※上記は外部からの延焼を防ぐための規定。ちなみに屋根は主要構造部なので、防火地域だとほぼ耐火構造にする必要もある、こちらは内部の火災のための規定。"
【024既存の建築物に対する制限の緩和】,【024既存の建築物に対する制限の緩和】
"■法3条　既存不適格建築物等の定義
・建築基準法令、条例を適用しない建築物
・建築基準法令、条例の「一部」を適用しない建築物
・建築基準法令、条例の規定を適用する建築物","■法3条　既存不適格建築物等の定義
・建築基準法令、条例を適用しない建築物
・建築基準法令、条例の「一部」を適用しない建築物
・建築基準法令、条例の規定を適用する建築物"
"■既存の建築物に対する制限の緩和
※書く","■既存の建築物に対する制限の緩和
※書く"
■用途の変更に対する法令の準用,■用途の変更に対する法令の準用
■増築時、用途変更の場合の全体計画認定,■増築時、用途変更の場合の全体計画認定
■一時的に他の用途へ変更,■一時的に他の用途へ変更
【025建築協定・地区計画】,【025建築協定・地区計画】
■建築協定,■建築協定
【026建築協定・地区計画】,【026建築協定・地区計画】
■地区計画,■地区計画
【027建築士法】,【027建築士法】
■建築士,■建築士
・建築士法上の用語,・建築士法上の用語
設計図書：建築工事の実施のために必要な図面および仕様書,設計図書：建築工事の実施のために必要な図面および仕様書
設計：その者の責任において設計図書を作成すること,設計：その者の責任において設計図書を作成すること
構造設計：建築物の構造に関する設計図書の設計,構造設計：建築物の構造に関する設計図書の設計
設備設計：建築設備に関する設計図書の作成,設備設計：建築設備に関する設計図書の作成
工事管理：工事を設計図書と照合し、設計図書通りに実施されているかいないかを確認すること,工事管理：工事を設計図書と照合し、設計図書通りに実施されているかいないかを確認すること
"・構造/設備設計一級建築士
一級建築士として5年以上業務に従事した後、登録講習機関の講習を1年以内に終了した一級建築士をいう","・構造/設備設計一級建築士
一級建築士として5年以上業務に従事した後、登録講習機関の講習を1年以内に終了した一級建築士をいう"
"■建築士の業務
・建築士が設計を行う場合は
①法令・条例の定める建築物に関する基準に適合させる
②委託者に対し、設計内容の説明を行うように努める","■建築士の業務
・建築士が設計を行う場合は
①法令・条例の定める建築物に関する基準に適合させる
②委託者に対し、設計内容の説明を行うように努める"
■建築士法「免許の登録事項」と「住所等の届出事項」※整理する。書籍との整合させる。,■建築士法「免許の登録事項」と「住所等の届出事項」※整理する。書籍との整合させる。
"①免許の登録事項・・・名簿に記載されて閲覧される
・士法5条1項 → 同法規則3条
・登録番号、登録年月日、氏名、処分歴、定期講習の受講歴等","①免許の登録事項・・・名簿に記載されて閲覧される
・士法5条1項 → 同法規則3条
・登録番号、登録年月日、氏名、処分歴、定期講習の受講歴等"
"②住所等の届出事項・・・個人情報ですから閲覧はされません
・士法5条の2第1項 → 同法規則8条
・本籍、住所、氏名、生年月日、性別（いまどき？）、
　建築に関する業務に従事する者にあっては、
　その業務の種別並びに勤務先の名称及び所在地等","②住所等の届出事項・・・個人情報ですから閲覧はされません
・士法5条の2第1項 → 同法規則8条
・本籍、住所、氏名、生年月日、性別（いまどき？）、
　建築に関する業務に従事する者にあっては、
　その業務の種別並びに勤務先の名称及び所在地等"
【028建築士法】,【028建築士法】
■建築士事務所,■建築士事務所
"■建築士法「管理建築士になるための要件」※整理する。書籍との整合させる。
（管理建築士講習の受講資格要件）（士法24条2項）
〇「建築士として」
×「一級建築士として」
3年以上の設計等の業務（規則20条の4により、設計、工事監理、契約事務、工事指導監督、調査鑑定、手続代理の6業務）に従事することが必要","■建築士法「管理建築士になるための要件」※整理する。書籍との整合させる。
（管理建築士講習の受講資格要件）（士法24条2項）
〇「建築士として」
×「一級建築士として」
3年以上の設計等の業務（規則20条の4により、設計、工事監理、契約事務、工事指導監督、調査鑑定、手続代理の6業務）に従事することが必要"
■建築士事務所協会・建築士事務所協会連合会,■建築士事務所協会・建築士事務所協会連合会
"■建築士法「構造設計一級建築士の関与と構造安全証明書」※整理する。書籍との整合させる。
（建築士法20条2項、20条の2第1項、2項）","■建築士法「構造設計一級建築士の関与と構造安全証明書」※整理する。書籍との整合させる。
（建築士法20条2項、20条の2第1項、2項）"
"①構造設計一級建築士の関与が義務付けられている建築物では、
　構造安全証明書の交付が不要。
　　（↑なぜなら構造設計図書に
　　　構造設計一級建築士である旨が表示され、
　　　それが安全性の証明になる。）","①構造設計一級建築士の関与が義務付けられている建築物では、
　構造安全証明書の交付が不要。
　　（↑なぜなら構造設計図書に
　　　構造設計一級建築士である旨が表示され、
　　　それが安全性の証明になる。）"
"②構造設計一級建築士の関与が義務付けられていない建築物では、
　構造安全証明書の交付が必要。
　　（↑構造安全証明書は、平たく言えば
　　　構造設計一級建築士ではない
　　　ただの建築士による安全性の証明書。）","②構造設計一級建築士の関与が義務付けられていない建築物では、
　構造安全証明書の交付が必要。
　　（↑構造安全証明書は、平たく言えば
　　　構造設計一級建築士ではない
　　　ただの建築士による安全性の証明書。）"
"■建築士法「構造設計一級建築士の関与」※整理する。書籍との整合させる。
（建築士法20条の2第1項、2項）
①　大規模の修繕に係る構造設計であっても、建築物の規模や修繕の内容によっては、構造設計一級建築士の関与が義務づけられることがある。
②　構造設計一級建築士の関与が義務付けられた建築物であっても、工事監理については、構造設計一級建築士の関与が義務づけられていない。
③　二級建築士が設計できる用途、構造、規模の建築物については、構造設計一級建築士の関与が義務づけられていない。","■建築士法「構造設計一級建築士の関与」※整理する。書籍との整合させる。
（建築士法20条の2第1項、2項）
①　大規模の修繕に係る構造設計であっても、建築物の規模や修繕の内容によっては、構造設計一級建築士の関与が義務づけられることがある。
②　構造設計一級建築士の関与が義務付けられた建築物であっても、工事監理については、構造設計一級建築士の関与が義務づけられていない。
③　二級建築士が設計できる用途、構造、規模の建築物については、構造設計一級建築士の関与が義務づけられていない。"
"■建築設備士
①延べ面積が2,000㎡を超える建築物の建築設備に係る設計又は工事監理を行う場合、原則として、建築設備士の意見を聴くのは努力義務（＝努めなければならない）
（士法18条4項）
②建築設備士の意見を聴いたときに設計図書、工事監理報告書にその旨を明らかにするのは義務（＝しなければならない）
（士法20条5項）","■建築設備士
①延べ面積が2,000㎡を超える建築物の建築設備に係る設計又は工事監理を行う場合、原則として、建築設備士の意見を聴くのは努力義務（＝努めなければならない）
（士法18条4項）
②建築設備士の意見を聴いたときに設計図書、工事監理報告書にその旨を明らかにするのは義務（＝しなければならない）
（士法20条5項）"
"■設備設計一級建築士
①階数が3以上で床面積の合計が5,000㎡を超える建築物の「設備設計」についての設備設計一級建築士の関与は義務。
（士法20条の3第1項、2項）
②「設備設計」について設備設計一級建築士の関与が義務付けられた建築物であっても、「工事監理」についてはその関与が義務づけられていない。","■設備設計一級建築士
①階数が3以上で床面積の合計が5,000㎡を超える建築物の「設備設計」についての設備設計一級建築士の関与は義務。
（士法20条の3第1項、2項）
②「設備設計」について設備設計一級建築士の関与が義務付けられた建築物であっても、「工事監理」についてはその関与が義務づけられていない。"
"■建築士法「一級建築士定期講習の受講期間」※整理する。書籍との整合させる。
①士法規則17条の36
　2回目以降
　→ 3年以内に受講
②士法規則17条の37第1項の表1号イ
　初回（合格後3年以内に建築士事務所に所属）
　→ 合格後3年以内に受講
③士法規則17条の37第1項の表1号ロ
　初回（合格後3年空いて建築士事務所に所属）
　→ 「遅滞なく」受講
④士法規則17条の37第1項の表1号ハ
　離職後3年空いて建築士事務所に所属
　→ 「遅滞なく」受講","■建築士法「一級建築士定期講習の受講期間」※整理する。書籍との整合させる。
①士法規則17条の36
　2回目以降
　→ 3年以内に受講
②士法規則17条の37第1項の表1号イ
　初回（合格後3年以内に建築士事務所に所属）
　→ 合格後3年以内に受講
③士法規則17条の37第1項の表1号ロ
　初回（合格後3年空いて建築士事務所に所属）
　→ 「遅滞なく」受講
④士法規則17条の37第1項の表1号ハ
　離職後3年空いて建築士事務所に所属
　→ 「遅滞なく」受講"
"■建築士法「講習に関する年数」※整理する。書籍との整合させる。
①定期講習（士法22条の2）
　→原則、3年以内ごとに受講・・・（〔法規 No.9〕で詳解）
②構造設計一級建築士講習の受講資格要件（士法10条の3第1項）
　設備設計一級建築士講習の受講資格要件（士法10条の3第2項）
　→一級建築士として5年以上の実務経験
③管理建築士講習の受講資格要件（士法24条）
　→建築士として3年以上の実務経験","■建築士法「講習に関する年数」※整理する。書籍との整合させる。
①定期講習（士法22条の2）
　→原則、3年以内ごとに受講・・・（〔法規 No.9〕で詳解）
②構造設計一級建築士講習の受講資格要件（士法10条の3第1項）
　設備設計一級建築士講習の受講資格要件（士法10条の3第2項）
　→一級建築士として5年以上の実務経験
③管理建築士講習の受講資格要件（士法24条）
　→建築士として3年以上の実務経験"
"■建築士法「請求の有無と免許証等の提示」※整理する。書籍との整合させる。
① 建築士は、設計等の委託者から請求があったときは、免許証等を提示しなければならない。
（士法19条の2）
② 管理建築士等は、重要事項説明をするときは、建築主に対し、（請求の有無にかかわらず必ず）免許証等を提示しなければならない。
（士法24条の7第2項）","■建築士法「請求の有無と免許証等の提示」※整理する。書籍との整合させる。
① 建築士は、設計等の委託者から請求があったときは、免許証等を提示しなければならない。
（士法19条の2）
② 管理建築士等は、重要事項説明をするときは、建築主に対し、（請求の有無にかかわらず必ず）免許証等を提示しなければならない。
（士法24条の7第2項）"
"■建築士法「帳簿、図書、書類の保存期間」※整理する。書籍との整合させる。
①帳簿（報酬の額、業務に従事した建築士の氏名等）
→ 15年間（士法24条の4、規則21条1項、3項）
②図書（設計図書、工事監理報告書等）
→ 15年間（士法24条の4、規則21条4項、5項）
③書類（業務の実績、所属建築士の氏名等）
→ 3年間（士法24条の6、規則22条の2第5項）","■建築士法「帳簿、図書、書類の保存期間」※整理する。書籍との整合させる。
①帳簿（報酬の額、業務に従事した建築士の氏名等）
→ 15年間（士法24条の4、規則21条1項、3項）
②図書（設計図書、工事監理報告書等）
→ 15年間（士法24条の4、規則21条4項、5項）
③書類（業務の実績、所属建築士の氏名等）
→ 3年間（士法24条の6、規則22条の2第5項）"
